Timestamp, RSSI, REM_RSSI, noise, REM_noise, rxerrors 
1762512100.4181316, -41.21052551269531, -40.157894134521484, 66, 59, 15 
1762512101.4240746, -41.73684310913086, -42.78947448730469, 60, 34, 15 
1762512102.3931715, -41.21052551269531, -42.78947448730469, 72, 34, 15 
1762512103.447211, -39.6315803527832, -41.73684310913086, 65, 35, 15 
1762512104.439259, -36.47368240356445, -41.73684310913086, 62, 35, 15 
1762512106.3913374, -33.31578826904297, -34.3684196472168, 66, 36, 15 
1762512107.404438, -33.31578826904297, -34.3684196472168, 63, 36, 15 
1762512108.4123096, -32.78947448730469, -35.421051025390625, 53, 35, 15 
1762512109.4163907, -32.78947448730469, -35.421051025390625, 70, 47, 15 
1762512110.455459, -38.578948974609375, -34.894737243652344, 67, 44, 15 
1762512111.414356, -35.421051025390625, -34.894737243652344, 56, 49, 15 
1762512112.423493, -35.421051025390625, -34.894737243652344, 65, 37, 15 
1762512113.4825203, -35.421051025390625, -34.894737243652344, 63, 40, 15 
1762512114.3876727, -35.94736862182617, -37.0, 59, 36, 15 
1762512115.4496105, -40.68421173095703, -40.157894134521484, 57, 35, 15 
1762512116.3975625, -35.94736862182617, -36.47368240356445, 61, 33, 15 
1762512117.4135826, -31.210525512695312, -31.736841201782227, 60, 30, 15 
1762512118.382524, -32.78947448730469, -32.78947448730469, 61, 29, 15 
1762512119.380731, -33.31578826904297, -33.31578826904297, 64, 35, 15 
1762512120.3987079, -31.736841201782227, -33.31578826904297, 61, 30, 15 
1762512121.4088383, -31.736841201782227, -32.26315689086914, 57, 37, 15 
1762512122.4287982, -30.157894134521484, -30.157894134521484, 62, 35, 15 
1762512123.3748088, -30.157894134521484, -30.157894134521484, 68, 36, 15 
1762512124.4368458, -30.6842098236084, -30.157894134521484, 72, 35, 15 
1762512125.4758806, -28.578947067260742, -27.526315689086914, 53, 36, 15 
1762512126.3789518, -21.736841201782227, -22.263158798217773, 59, 36, 15 
1762512127.4409056, -19.63157844543457, -20.6842098236084, 65, 43, 15 
1762512128.3909547, -19.63157844543457, -19.63157844543457, 64, 39, 15 
1762512129.405047, -20.157894134521484, -21.736841201782227, 61, 38, 15 
1762512130.4671211, -17.526315689086914, -20.157894134521484, 61, 43, 15 
1762512131.3771014, -22.789474487304688, -17.0, 63, 39, 15 
1762512132.4044032, -21.736841201782227, -21.210525512695312, 72, 38, 15 
1762512133.401216, -22.263158798217773, -23.842105865478516, 70, 42, 15 
1762512134.3955626, -18.578947067260742, -19.63157844543457, 75, 36, 15 
1762512135.3873286, -20.157894134521484, -20.157894134521484, 72, 36, 15 
1762512136.406348, -18.052631378173828, -18.578947067260742, 74, 33, 15 
1762512137.465715, -21.736841201782227, -22.263158798217773, 68, 30, 15 
1762512138.409497, -27.526315689086914, -28.052631378173828, 73, 34, 15 
1762512139.4285436, -31.210525512695312, -31.210525512695312, 75, 70, 15 
1762512140.3865776, -31.210525512695312, -32.26315689086914, 68, 33, 15 
1762512141.3965895, -31.210525512695312, -32.78947448730469, 73, 33, 15 
1762512142.458615, -32.26315689086914, -33.31578826904297, 75, 33, 15 
1762512143.415683, -35.421051025390625, -35.94736862182617, 76, 33, 15 
1762512144.4246964, -38.05263137817383, -39.6315803527832, 72, 26, 15 
1762512145.4306817, -39.105262756347656, -41.21052551269531, 65, 38, 15 
1762512146.3916795, -44.894737243652344, -43.842105865478516, 70, 35, 15 
1762512147.4537656, -43.842105865478516, -42.26315689086914, 70, 36, 15 
